congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,bioname,screen_name,bioguide_id,born,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,nokken_poole_dim1,nokken_poole_dim2,economic_simple_tr,social_simple_tr,econ_and_social,,21
116,Senate,14226,31,0,IA,200,"GRASSLEY, Charles Ernest",ChuckGrassley,G000386,1933,0.346,-0.065,-51.21694,0.89758,474,19,0.511,0.113,right,right,rightright,FALSE,
116,Senate,41502,31,0,IA,200,"ERNST, Joni",joniernst,E000295,1970,0.53,-0.023,-42.43309,0.91332,468,17,0.561,-0.084,right,right,rightright,FALSE,
116,Senate,14852,32,0,KS,200,"ROBERTS, Charles Patrick (Pat)",SenPatRoberts,R000307,1936,0.413,-0.091,-18.33671,0.95963,445,2,0.339,0.211,right,right,rightright,FALSE,
116,Senate,29722,32,0,KS,200,"MORAN, Jerry",JerryMoran,M000934,1954,0.413,0.2,-74.72748,0.84082,431,26,0.391,-0.356,right,right,rightright,FALSE,
116,Senate,14921,51,0,KY,200,"McCONNELL, Addison Mitchell (Mitch)",SenateMajLdr,M000355,1942,0.402,0.004,-43.46731,0.91238,474,12,0.32,0.155,right,right,rightright,FALSE,
116,Senate,41104,51,0,KY,200,"PAUL, Rand",RandPaul,P000603,1963,0.878,-0.479,-122.38309,0.7533,432,64,0.885,-0.466,right,left,rightleft,TRUE,
116,Senate,20919,45,0,LA,200,"CASSIDY, Bill",BillCassidy,C001075,1957,0.454,-0.107,-34.45969,0.92417,437,17,0.502,-0.15,right,right,rightright,FALSE,
116,Senate,41703,45,0,LA,200,"KENNEDY, John Neely",SenJohnKennedy,K000393,1951,0.562,0.269,-45.27329,0.90665,462,22,0.643,-0.03,right,right,rightright,FALSE,
116,Senate,41300,2,0,ME,328,"KING, Angus Stanley, Jr.",SenAngusKing,K000383,1944,-0.154,-0.226,-52.75366,0.89468,474,20,-0.162,-0.21,right,left,rightleft,TRUE,
116,Senate,49703,2,0,ME,200,"COLLINS, Susan Margaret",SenatorCollins,C001035,1952,0.112,-0.542,-41.04286,0.91705,474,10,0.129,-0.419,left,right,leftright,TRUE,
116,Senate,15408,52,0,MD,100,"CARDIN, Benjamin Louis",SenatorCardin,C000141,1943,-0.321,-0.232,-76.32886,0.84981,469,30,-0.276,-0.075,left,left,leftleft,FALSE,
116,Senate,20330,52,0,MD,100,"VAN HOLLEN, Christopher",ChrisVanHollen,V000128,1959,-0.389,-0.19,-73.14251,0.85673,473,27,-0.369,-0.293,left,left,leftleft,FALSE,
116,Senate,14435,3,0,MA,100,"MARKEY, Edward John",SenMarkey,M000133,1946,-0.511,-0.45,-56.51375,0.88099,446,17,-0.611,-0.769,left,left,leftleft,FALSE,
116,Senate,41301,3,0,MA,100,"WARREN, Elizabeth",SenWarren,W000817,1949,-0.767,-0.27,-10.64836,0.95588,236,4,-0.797,-0.33,left,left,leftleft,FALSE,
116,Senate,20923,23,0,MI,100,"PETERS, Gary C.",SenGaryPeters,P000595,1958,-0.245,-0.2,-86.22988,0.83367,474,42,-0.303,-0.073,left,left,leftleft,FALSE,
116,Senate,29732,23,0,MI,100,"STABENOW, Deborah Ann",SenStabenow,S000770,1950,-0.341,-0.007,-98.6568,0.80846,464,50,-0.388,-0.168,left,left,leftleft,FALSE,
116,Senate,40700,33,0,MN,100,"KLOBUCHAR, Amy",amyklobuchar,K000367,1960,-0.277,-0.329,-118.63621,0.67514,302,61,-0.483,-0.506,left,left,leftleft,FALSE,
116,Senate,41706,33,0,MN,100,"SMITH, Tina",SenTinaSmith,S001203,1958,-0.393,-0.086,-60.06022,0.88099,474,24,-0.412,-0.071,left,left,leftleft,FALSE,
116,Senate,29534,46,0,MS,200,"WICKER, Roger F.",SenatorWiker,W000437,1951,0.376,0.352,-22.93573,0.95267,473,7,0.374,0.2,right,right,rightright,FALSE,
116,Senate,41707,46,0,MS,200,"HYDE-SMITH, Cindy",SenHydeSmith,H001079,1959,0.366,0.277,-14.12414,0.97021,467,4,0.349,0.318,left,right,leftright,TRUE,
116,Senate,29735,34,0,MO,200,"BLUNT, Roy",RoyBlunt,B000575,1950,0.427,0.281,-24.10318,0.95001,470,9,0.35,0.174,right,right,rightright,FALSE,
116,Senate,41901,34,0,MO,200,"HAWLEY, Joshua David",SenHawleyPress,H001089,1979,0.565,-0.315,-42.58643,0.9139,473,22,0.565,-0.316,left,right,leftright,TRUE,
116,Senate,21338,64,0,MT,200,"DAINES, Steve",SteveDaines,D000618,1962,0.556,-0.102,-44.4068,0.90929,467,27,0.606,-0.139,right,right,rightright,FALSE,
116,Senate,40702,64,0,MT,100,"TESTER, Jon",SenatorTester,T000464,1956,-0.217,0.135,-64.89206,0.87205,474,24,-0.244,0.085,left,left,leftleft,FALSE,
116,Senate,41302,35,0,NE,200,"FISCHER, Debra (Deb)",SenatorFischer,F000463,1951,0.473,0.336,-18.76069,0.96071,468,8,0.498,0.465,right,right,rightright,FALSE,
116,Senate,41503,35,0,NE,200,"SASSE, Benjamin Eric",SenSasse,S001197,1972,0.796,-0.242,-29.13318,0.93824,457,12,0.731,-0.157,right,right,rightright,FALSE,
116,Senate,21743,65,0,NV,100,"ROSEN, Jacklyn Sheryl",SenJackyRosen,R000608,1957,-0.276,0.281,-48.01533,0.90308,471,15,-0.309,0.317,left,left,leftleft,FALSE,
116,Senate,41700,65,0,NV,100,"CORTEZ MASTO, Catherine Marie",SenCortezMasto,C001113,1964,-0.37,0.333,-49.1715,0.90087,471,24,-0.348,0.319,left,left,leftleft,FALSE,
116,Senate,40906,4,0,NH,100,"SHAHEEN, Jeanne",SenatorShaheen,S001181,1947,-0.24,-0.163,-63.59953,0.87419,473,28,-0.215,-0.048,left,left,leftleft,FALSE,
116,Senate,41702,4,0,NH,100,"HASSAN, Margaret (Maggie)",SenatorHassan,H001076,1958,-0.241,-0.048,-57.42571,0.8859,474,27,-0.226,-0.006,left,left,leftleft,FALSE,
